File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\GameData\Scripts\WorldSector.cs,65,51,41,6,12,0,2,8,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts\AnimalBodyController.cs,42,27,20,1,14,0,1,1,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts\AnimationControllers.cs,22,13,9,0,8,0,1,3,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts\CharBodyController.cs,220,190,143,62,20,0,10,21,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts\GeneralGObjectController.cs,29,19,14,0,10,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts\GRObject.cs,167,105,82,13,39,4,23,106,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts\ObjectAnimController.cs,54,44,31,12,10,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts\ObjectRenderer.cs,229,57,40,2,17,0,155,490,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts\SpriteDatabase.cs,25,19,17,0,6,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts\StructureController.cs,16,8,5,0,6,0,2,10,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts\ActorControllers\ActorController.cs,217,182,129,35,28,1,7,34,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts\ActorControllers\AnimalController.cs,55,39,32,1,13,0,3,6,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts\ActorControllers\CharacController.cs,76,60,53,1,13,0,3,6,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Objects\Scripts\ActorControllers\PlayerController.cs,45,34,24,5,11,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Scripts\AssetsManager.cs,14,5,4,0,3,0,6,11,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Scripts\GameRenderer.cs,343,243,166,51,70,1,30,170,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Scripts\GameRenderer_Types.cs,119,73,58,15,14,0,32,184,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Scripts\GRenderEventManager.cs,61,51,36,8,10,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Terrain\Scripts\TerrainRenderer.cs,195,102,79,4,32,0,61,209,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Renderer\Terrain\Scripts\TerrainTextureManager.cs,79,66,53,12,10,0,3,12,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Scripts\GameObjectPool.cs,56,46,37,5,10,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Scripts\HashTable.cs,13,6,4,0,7,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Scripts\TestUtils.cs,11,7,6,0,4,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Scripts\Types.cs,40,23,25,1,12,0,5,25,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\Tests\AnimTestController.cs,13,7,5,0,6,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\UI\UIManager.cs,66,54,43,4,12,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\UI\GenericPanels\SmallHoveringPanel\Scripts\SmallHoveringPanel.cs,52,43,34,3,9,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\UI\InfoPanel\UI_InfoPanel.cs,18,12,9,0,6,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\WorldMachine\WorldGenerator.cs,69,54,39,13,15,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\WorldMachine\WorldMachine.cs,24,18,13,1,6,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\WorldMachine\Biomes\Biome.cs,9,5,4,0,4,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\WorldMachine\Biomes\BiomeData.cs,10,6,5,0,4,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\WorldMachine\Biomes\ConiferousForest.cs,11,7,5,0,4,0,0,0,0,0
C:\Users\David\Documents\2D-Survival\2D_Survival\Assets\WorldMachine\Biomes\TropicalForest.cs,11,7,5,0,4,0,0,0,0,0
