Word,Count
OPERATIONS,2
().sprite,2
Behaviour_PaceRandomly());,2
Obtains,2
RENDER,2
List<GameObject>,2
using,2
previous,2
class:,2
\maker,\,2
\table,\,2
\GameRenderer,\,2
Whenever,2
appropriate,2
If,2
we,2
visualize,2
frame,2
\Vector2(0,\,2
-Removes,2
Queue,2
rock.setPosition,2
prefab,2
Subcomponent,2
item,2
Body,2
into,2
called,2
non-environmentals:,2
GObjectType,2
most,2
tint,2
links,2
containing,2
\example,\,2
triangle,2
-Obtains,2
not),2
sistematically,2
\1),\,2
BOOL_YN.NO,2
them,2
Also,2
ObjectRenderer,2
-Unlinks,2
brightness,2
GActor),2
OBJ_Player,2
crate.setPosition,2
removeAnimationControllers,2
(getTileFromWorldPoint(new,2
GameObject;,2
ActorController,2
getAnimationController,2
GItem,2
while,2
GObject_Actors_RefList,2
child,2
environmentals:,2
(player,2
0));,2
perform,2
speed,2
definition,2
returns,2
balance,2
(tl.Contained_Objects.objectIsContained(crate));,2
gobj),2
accessed,2
level,2
returned,2
radius,2
-The,2
rock,2
Sets,1
Items:,1
slot,1
cam,1
unwanted,1
\(crate.pos_x,\,1
\NPCs,\,1
GameObject:<robj>,1
-Will,1
(act,1
\GObject:<obj>,\,1
tile-referenced,1
interactive[BOOL_YN.YES],1
form,1
gobj.renderedGameObject.AddComponent<ActorController>,1
RefList,1
AnimationControllers.AnimControllers.animal;,1
is:,1
sector-specific,1
().material.mainTexture,1
bear,1
\texMan.grid_cells_x),\,1
\Vector2(3,\,1
salty,1
bunny1,1
tree..,1
current,1
Destroy(gobj.GetComponent<ActorController>,1
-GObject_Item,1
Destroy(gobj.GetComponent<AnimalController>,1
managing,1
classified,1
-GObject_Actor,1
readonly,1
Destroy(gobj.GetComponent<CharacController>,1
Animal,1
(this);,1
\sectors,\,1
sector-referenced,1
(slot);,1
\Vector2(2,\,1
Feet,1
Movable,1
//gobject,1
interaction,1
anima1;,1
cell_offset_y*(cell_indexes.y+1));,1
placing,1
\hunter,\,1
moveObjToSector,1
otherwise,1
branch,1
discardSector,1
non-movables:,1
place,1
program,1
adjustCamSize();,1
bunny1.setPosition,1
relation,1
(getTile(new,1
children.Add,1
directly,1
per-sector,1
application,1
non-interactables:,1
\procedure,\,1
\structure,\,1
obj.sprite;,1
Reset,1
\Vector2(0,0)).getCenter());\,1
\GActor:<obj>,\,1
controllers/components,1
\humanoid,\,1
\"\schedule"\\,1
visual,1
Vector2[],1
already,1
change,1
tl,1
attached,1
gobj.renderedGameObject.AddComponent<CharacController>,1
\GameObject:<obj>,\,1
(KeyCode.P)),1
\rendering,\,1
Types.cs,1
present,1
GObject:,1
\inventory,\,1
Tell,1
\<objectPool>,\,1
GameObject:<gobj>,1
GameController,1
if(Input.GetKey(KeyCode.LeftShift)),1
\application,\,1
\GameData.FocusPoint.y,\,1
UnityEngine.Random.Range,1
carried,1
placement,1
bunny1.setBehaviour,1
towards,1
LATER,1
transform.position,1
our,1
End,1
False,1
rocks,1
if(Input.GetKey(KeyCode.DownArrow)),1
(child,1
material,1
OF,1
RendererObjectUpdateQueues,1
simple,1
==,1
\wolf,\,1
getAnimationController(GObject,1
moveTargetTemp(Vector2.up*speed);,1
directs,1
without,1
\(interactive,\,1
\villager,\,1
\controllers,\,1
Assigns,1
removed,1
animated,1
};,1
\Player,\,1
texMan.terrain_sprite.texture;,1
robj.GetComponent<Animator>,1
\simulation,\,1
GItem),1
(tl.indexToString());,1
(pixels),1
whole,1
bodyparts.GetComponent<CharBodyController>,1
\shopkeeper,\,1
adds,1
bunny2.setPosition,1
\window,\,1
tile-specific,1
Short,1
just,1
\GStructures,\,1
subdivision,1
\point"\);\,1
bunny2,1
Vector2,1
NPCs:,1
equipped_items.printEquippedItems,1
2f;,1
given,1
presses,1
sets,1
dropped,1
components/gameObjects,1
().updatePosition();,1
Used,1
craftsman,1
units,1
<RuntimeAnimatorController>,1
gameobjects,1
extend,1
getTileFromWorldPoint,1
holding,1
per-tile,1
\Queues,\,1
moveTargetTemp(Vector2.up*-1*speed);,1
random,1
Queues,1
robj.GetComponent<SpriteRenderer>,1
note:,1
<new_position>,1
gobj.transform),1
dummy_structure,1
\GObjects,\,1
-GObject_Structure,1
getNewGameObject,1
\("\Bunny"\);\,1
crate.pos_y)).indexToString());,1
Destroy(gobj.GetComponent<PlayerController>,1
GItem_RefList_Index,1
GameRenderer_Types,1
-Finds,1
(slot),1
visually,1
subsets,1
GameRenderer.GRenderer.ScheduleUpdateOnAllObjects(RenderObjectUpdateOperations.UPDATE_POSITION);,1
transparency,1
interactive[1],1
interactables:,1
\zombie,\,1
//obj.renderedGameObject.GetComponent<PlayerController>,1
aestethical,1
Destroy(child));,1
base,1
Types,1
property,1
obj),1
i,1
null,1
scheduled,1
obj.GetComponent<Animator>,1
Structures:,1
picked,1
AnimatorController,1
GameData_Types,1
CharBodyPart_AnimClips,1
Deactivates,1
highest-level,1
tropical,1
\(speaking,\,1
-Prompts,1
AnimationControllers.AnimControllers.character;,1
removeAnimationControllers(GameObject,1
\Dictionary<EquippableSlot,\,1
another,1
\rabbit,\,1
TerrainRenderer,1
\(GameData.FocusPoint.x,\,1
instead,1
resource_identifiers,1
model,1
advance,1
non-environmental,1
Its,1
(Input.GetKeyDown,1
WorldSectors,1
setupSector,1
\GObject,\,1
\placement,\,1
some,1
movement,1
findObject(T,1
look,1
changing,1
texMan.grid_cells_y));,1
intended,1
RuntimeAnimatorController,1
obj.GetComponent<SpriteRenderer>,1
gobj.renderedGameObject.AddComponent<AnimalController>,1
should,1
reflects,1
No,1
NPC...),1
properties,1
Vector2:<new_position>,1
obj,1
creation,1
int,1
jobs,1
movable...),1
concerned,1
empty,1
single,1
float,1
updating,1
true;,1
\GObject:<gobj>,\,1
Game,1
-Adds,1
NPC,1
initial,1
Visualizes,1
GCharacter;,1
Setup,1
time,1
GAnimal;,1
GItems,1
\GStructure(BOOL_YN.NO,\,1
Rabbit1;,1
constituents,1
\gobject,\,1
finished,1
pixels,1
destroyed,1
if(Input.GetKey(KeyCode.RightArrow)),1
Head,1
string>,1
\GActors,\,1
possible,1
if(Input.GetKey(KeyCode.LeftArrow)),1
Renderer,1
Torso,1
structures,1
\texMan.getUvCoords(UnityEngine.Random.Range(0,\,1
requestObjectPositionChange,1
7;,1
\world,\,1
queue_count,1
uvCoords,1
foreach,1
GCharacter,1
crate.pos_y));,1
AnimalController,1
representation,1
\statue,\,1
do,1
been,1
ActorAnimations,1
updateObjectPosition,1
section,1
direction,1
succesful,1
dummy_item,1
(Transform,1
\Otherwise,\,1
enqueue,1
\Character,\,1
regular,1
-Since,1
interact,1
Object,1
animals,1
non-NPCs:,1
().Init(gobj);,1
evironmental,1
crate.pos_y)).Contained_Objects.objectIsContained(crate));,1
GItem();,1
GActor_RefList_Index,1
general,1
operates,1
RendererTerrainUpdateQueues,1
positions,1
successful,1
interactive[0],1
children.ForEach,1
Vector3,1
GeneralObjectController,1
delete,1
column..,1
attempt,1
BOOL_YN.NO);,1
\<terrainObject>,\,1
respond,1
<point>,1
(child.gameObject);,1
environmental[BOOL_YN.NO],1
bunny2.setBehaviour,1
\Non-Player-Character,\,1
WorldSector:,1
if(animal,1
\Debug.LogError("\Failed\,1
\Vector2(cell_offset_x*(cell_indexes.x+1),\,1
obj.GetComponent<MeshRenderer>,1
blocking,1
\construction,\,1
-Please,1
bandit,1
GActor();,1
environmental[BOOL_YN.YES],1
active_player.setPosition,1
\Bandit,\,1
coords[1],1
\<terrainObjectPool>,\,1
GAnimal,1
check,1
moves,1
here,1
(getAnimClipPair,1
movement_vector,1
(tiles),1
<Contained_Objects>,1
crate,1
Actors:,1
=>,1
uses,1
Interactable,1
follows:,1
coords[0],1
\BOOL_YN.NO,\,1
\bunny"\);\,1
ai,1
bartering...),1
\("\Psychotic\,1
organized,1
down,1
That,1
forest,1
script,1
GStructure_RefList_Index,1
GActor;,1
moveTargetTemp(Vector2.right*speed);,1
<,1
represented,1
\(0,\,1
<gobj>s,1
GObject_Items_RefList,1
successfully,1
-If,1
discardGameObject,1
DELETE,1
\reached,\,1
\view,\,1
Attempts,1
gobj.renderedGameObject.AddComponent<PlayerController>,1
scenery,1
moveTargetTemp(Vector2.right*-1*speed);,1
having,1
CharacController,1
Directs,1
private,1
if(Input.GetKey(KeyCode.UpArrow)),1
dummy_actor,1
\WorldSector,\,1
\GameObject,\,1
conceptual,1
\vegetation,\,1
discardObject,1
camera,1
removing,1
part,1
//Its,1
RefLists,1
enum,1
Arms,1
-Also,1
typically,1
objects:,1
ActorAnimations;,1
simulation,1
false,1
environmental[1],1
camDepth);,1
movables:,1
//,1
\player,\,1
\(environmental,\,1
environmental,1
GameRenderer.GRenderer.rObject.updateObjectPosition,1
-Places,1
environmental[0],1
1f;,1
GObject_Sector_RefList),1
interactive[BOOL_YN.NO],1
cell_offset_y*cell_indexes.y);,1
high-level,1
until,1
Legs,1
first,1
scripts,1
GObject_RefLists,1
getNewTerrainObject,1
\<gobject>,\,1
if(character,1
comprise,1
\Vector2(cell_offset_x*cell_indexes.x,\,1
